County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotimgRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
EAU CLAIRE COUNTY,CITY OF EAU CLAIRE,Ward 28,HOPE METHODIST CHURCH,"2233 GOLF RD, EAU CLAIRE, WI 54701-8048",7158355310,,,-91.469886,44.770786,2016 General Election
EAU CLAIRE COUNTY,CITY OF EAU CLAIRE,Ward 38,HOPE METHODIST CHURCH,"2233 GOLF RD, EAU CLAIRE, WI 54701-8048",7158355310,,,-91.469886,44.770786,2016 General Election
EAU CLAIRE COUNTY,CITY OF EAU CLAIRE,Ward 48,HOPE METHODIST CHURCH,"2233 GOLF RD, EAU CLAIRE, WI 54701-8048",7158355310,,,-91.469886,44.770786,2016 General Election
EAU CLAIRE COUNTY,CITY OF EAU CLAIRE,Ward 53,HOPE METHODIST CHURCH,"2233 GOLF RD, EAU CLAIRE, WI 54701-8048",7158355310,,,-91.469886,44.770786,2016 General Election
EAU CLAIRE COUNTY,CITY OF EAU CLAIRE,Ward 56,HOPE METHODIST CHURCH,"2233 GOLF RD, EAU CLAIRE, WI 54701-8048",7158355310,,,-91.469886,44.770786,2016 General Election
EAU CLAIRE COUNTY,VILLAGE OF FALL CREEK,Wards 1-2,FALL CREEK VILLAGE HALL,"122 E LINCOLN AVE, FALL CREEK, WI 54742-9425",(715) 877-2177,,Government,-91.2748385221,44.7635444999,2016 General Election
EAU CLAIRE COUNTY,TOWN OF WASHINGTON,Ward 1-13,WASHINGTON TOWN HALL,"5750 OLD TOWN HALL RD, EAU CLAIRE, WI 54701-8948",(715) 834-3257,,Government,-91.42217,44.763209,2016 General Election
CLARK COUNTY,CITY OF GREENWOOD,Wards 1-2,GREENWOOD FIRE HALL,"103 CANNERY ST, GREENWOOD, WI 54437-9705",7152676205,,Government,-90.6010870636,44.7600468993,2016 General Election
PIERCE COUNTY,CITY OF PRESCOTT,Wards 1-6,PRESCOTT CITY HALL,"800 BORNER ST N, PRESCOTT, WI 54021-2011",7152625544,,Government,-92.7860336304,44.7578659058,2016 General Election
MARATHON COUNTY,VILLAGE OF SPENCER,Wards 1-3,SPENCER MUNICIPAL BUILDING,"105 S PARK ST, SPENCER, WI 54479-9083",7156595423,,Government,-90.298057,44.75682,2016 General Election
EAU CLAIRE COUNTY,TOWN OF LINCOLN,Wards 1-2,LINCOLN TOWN HALL,"S5555 GREEN MEADOW RD, FALL CREEK, WI 54742",(715) 877-2262,,Government,-91.246366,44.754841,2016 General Election
MARATHON COUNTY,TOWN OF BERGEN,Ward 1,BERGEN TOWN HALL,"644 ANGLERS LN, MOSINEE, WI 54455-8912",7156935666,,Government,-89.7765426636,44.7525405884,2016 General Election
DOOR COUNTY,TOWN OF FORESTVILLE,Wards 1-2,FORESTVILLE TOWN HALL,"7705 COUNTY ROAD H, STURGEON BAY, WI 54235",9208566551,,Private,-87.4858863652,44.7478361428,2016 General Election
MARATHON COUNTY,TOWN OF GREEN VALLEY,Ward 1,GREEN VALLEY TOWN HALL,"879 ANCESTOR LN, MOSINEE, WI 54455",7156933625,,Government,-89.908238,44.74404,2016 General Election
MARATHON COUNTY,TOWN OF DAY,Ward 1-2,TOWN OF DAY MUNICIPAL CENTER,"D1838 COUNTY ROAD C, STRATFORD, WI 54484-9380",7153874303,,Government,-90.031756,44.743377,2016 General Election
CLARK COUNTY,TOWN OF SHERMAN,Wards 1-2,SHERMAN TOWN HALL,"W896 WILLARD RD, SPENCER, WI 54479-9060",(715) 659-4574,,Government,-90.356664,44.743123,2016 General Election
SHAWANO COUNTY,TOWN OF PELLA,Ward 1,PELLA TOWN HALL,"W11021 COUNTY ROAD D, MARION, WI 54950-9070",7147545133,,Government,-88.802534,44.742233,2016 General Election
SHAWANO COUNTY,VILLAGE OF TIGERTON,Ward 1,TIGERTON VILLAGE HALL,"221 BIRCH ST, TIGERTON, WI 54486-9532",7155352262,,Government,-89.062210083,44.7411727905,2016 General Election
SHAWANO COUNTY,VILLAGE OF BONDUEL,Ward 1-2,BONDUEL VILLAGE HALL,"117 E GREEN BAY ST, BONDUEL, WI 54107-8302",7157582402,,Government,-88.4458489716,44.7397888452,2016 General Election
DUNN COUNTY,TOWN OF PERU,Ward 1,PERU TOWN HALL,"E7209 160TH AVE, MONDOVI, WI 54755",NONE,,Government,-91.796988,44.738426,2016 General Election
CLARK COUNTY,CITY OF LOYAL,Wards 1-2,LOYAL CITY HALL,"301 N MAIN ST, LOYAL, WI 54446-9406",7152558772,,Government,-90.4959900677,44.7382573038,2016 General Election
DOOR COUNTY,TOWN OF BRUSSELS,Wards 1-2,BRUSSELS COMMUNITY CENTER,"1366 JUNCTION RD, BRUSSELS, WI 54204-9540",9208257618,,Government,-87.6184726506,44.7362429649,2016 General Election
CLARK COUNTY,TOWN OF HENDREN,Ward 1,WILLARD COMMUNITY CENTER,"W8178 DOVE RD, WILLARD, WI 54493-8864",(715) 267-6266,,Private,-90.723855,44.735119,2016 General Election
SHAWANO COUNTY,TOWN OF GERMANIA,Wards 1-2,GERMANIA TOWN HALL,"W18101 COUNTY ROAD M, TIGERTON, WI 54486-9244",7155352026,,Government,-89.164518,44.734379,2016 General Election
EAU CLAIRE COUNTY,TOWN OF BRUNSWICK,Wards 1-2,BRUNSWICK TOWN HALL,"W5485 COUNTY ROAD Z, EAU CLAIRE, WI 54701-8680",(715) 835-4060,,Government,-91.599889,44.734091,2016 General Election
MARATHON COUNTY,TOWN OF BEVENT,Ward 1-2,BEVENT TOWN HALL,"1096 S COUNTY ROAD Y, HATLEY, WI 54440",7154546303,,Government,-89.40829,44.734077,2016 General Election
PIERCE COUNTY,VILLAGE OF ELLSWORTH,Ward 1-4,Ellsworth Village Hall,"130 N CHESTNUT ST, ELLSWORTH, WI 54011-4135",(715) 273-4742,Lower level,Government,-92.4826965332,44.7327156067,2016 General Election
PIERCE COUNTY,TOWN OF ROCK ELM,Ward 1,ROCK ELM TOWN HALL,"N5412 170TH ST, ELMWOOD, WI 54740",(715) 647-3507,,Government,-92.217664,44.732712,2016 General Election
PIERCE COUNTY,TOWN OF EL PASO,Ward 1,EL PASO TOWN HALL,"N5325 450TH ST, ELLSWORTH, WI 54011-5721",(715) 273-4811,,Government,-92.358688,44.73259,2016 General Election
PIERCE COUNTY,TOWN OF TRIMBELLE,Ward 1-2,TRIMBELLE TOWN HALL,"N5310 800TH ST, ELLSWORTH, WI 54011",7152735319,,Government,-92.533198,44.732204,2016 General Election
SHAWANO COUNTY,TOWN OF WAUKECHON,Wards 1-2,WAUKECHON TOWN HALL,"N3999 COUNTY ROAD K, SHAWANO, WI 54166-7033",7155262515,,Government,-88.556884,44.731864,2016 General Election
CLARK COUNTY,TOWN OF EATON,Wards 1-2,EATON TOWN HALL,"N8598 STATE HIGHWAY 73, GREENWOOD, WI 54437",(715) 267-7691,,Government,-90.5980943888,44.7306351364,2016 General Election
MARATHON COUNTY,TOWN OF KNOWLTON,Ward 1-3,KNOWLTON TOWN HALL,"1243 S OLD HIGHWAY 51, MOSINEE, WI 54455-9595",7156939512,,Government,-89.6847076416,44.7302207947,2016 General Election
MARATHON COUNTY,TOWN OF SPENCER,Ward 1-2,SPENCER MUNICIPAL BUILDING,"S671 KARAU AVE, MARSHFIELD, WI 54449-9459",7156594054,,Government,-90.257317,44.729098,2016 General Election
MARATHON COUNTY,TOWN OF MCMILLAN,Wards 1-3,MCMILLAN TOWN HALL,"M403 ELM ST, MARSHFIELD, WI 54449-9247",,,Government,-90.139119,44.728684,2016 General Election
CLARK COUNTY,TOWN OF LOYAL,Wards 1-2,LOYAL TOWN HALL,"W3412 CHICKADEE RD, LOYAL, WI 54446-8429",7152558258,,Government,-90.479645,44.726956,2016 General Election
DOOR COUNTY,TOWN OF CLAY BANKS,Ward 1,CLAY BANKS TOWN HALL,"6098 COUNTY ROAD OO, STURGEON BAY, WI 54235",(920) 493-7383,,Government,-87.3766171932,44.7263208032,2016 General Election
SHAWANO COUNTY,TOWN OF HARTLAND,Ward 1,HARTLAND TOWN HALL,"W3454 COUNTY ROAD BE, BONDUEL, WI 54107-8886",7157586063,,Government,-88.4124514461,44.724868387,2016 General Election
OCONTO COUNTY,TOWN OF LITTLE SUAMICO,Ward 1-8,LITTLE SUAMICO TOWN HALL,"5964 COUNTY RD S, SOBIESKI, WI 54171-9713",9208267655,,Government,-88.0650482178,44.7216758728,2016 General Election
DUNN COUNTY,TOWN OF ROCK CREEK,Ward 1,ROCK CREEK TOWN HALL,"N995 COUNTY ROAD H, MONDOVI, WI 54755-6823",7158754761,,Government,-91.680194,44.719492,2016 General Election
PIERCE COUNTY,TOWN OF OAK GROVE,Ward 1-3,OAK GROVE TOWN HALL,"N4939 1100TH ST, PRESCOTT, WI 54021",7152625677,,Government,-92.685929,44.719181,2016 General Election
PIERCE COUNTY,TOWN OF ELLSWORTH,Ward 1-2,ELLSWORTH TOWN HALL,"W6058 490TH AVE, ELLSWORTH, WI 54011-3000",7152735006,,Government,-92.434232,44.718217,2016 General Election
SHAWANO COUNTY,TOWN OF GRANT,Wards 1-2,GRANT TOWN HALL,"W12610 COUNTY ROAD M, CAROLINE, WI 54928-9725",7157542223,,Government,-88.8793603331,44.7160647064,2016 General Election
DOOR COUNTY,TOWN OF UNION,Ward 1,TOWN OF UNION COMMUNITY CENTER & TOWN HALL,"905 COUNTY HIGHWAY DK, BRUSSELS, WI 54204-9728",9208257569,,Private,-87.683631,44.715652,2016 General Election
OCONTO COUNTY,TOWN OF CHASE,Wards 1-5,CHASE COMMUNITY HALL,"8481 COUNTY RD S, PULASKI, WI 54162",9208221560,,Government,-88.190598,44.714196,2016 General Election
KEWAUNEE COUNTY,TOWN OF LUXEMBURG,Ward 1-3,LUXEMBURG TOWN HALL,"E1027 STATE RD 54, LUXEMBURG, WI 54217",9208452872,,Government,-87.7057800293,44.7109603882,2016 General Election
MARATHON COUNTY,TOWN OF FRANZEN,Ward 1,FRANZEN TOWN HALL,"1695 S STATE HIGHWAY 49, WITTENBERG, WI 54499",7154547177,,Government,-89.264816,44.710838,2016 General Election
CLARK COUNTY,TOWN OF FOSTER,Ward 1,ROCK DAM ROD & GUN CLUB,"8561 HAY CREEK RD, WILLARD, WI 54493",7152674538,,Private,-90.820213,44.707965,2016 General Election
SHAWANO COUNTY,TOWN OF FAIRBANKS,Ward 1,FAIRBANKS TOWN HALL,"N3272 COUNTY ROAD SS, TIGERTON, WI 54486-8526",7155352655,,Government,-89.023048,44.70782,2016 General Election
SHAWANO COUNTY,TOWN OF ANGELICA,Wards 1-3,ANGELICA TOWN HALL,"N3285 COUNTY ROAD C, PULASKI, WI 54162",9208225554,,Government,-88.3253058046,44.70214203,2016 General Election
MARATHON COUNTY,TOWN OF GUENTHER,Ward 1,GUENTHER TOWN HALL,"2090 S COUNTY ROAD X, MOSINEE, WI 54455",7156921660,,Government,-89.607471,44.700196,2016 General Election
DUNN COUNTY,TOWN OF EAU GALLE,Ward 1,SAINT HENRY'S PARISH HALL,"N460 COUNTY ROAD D, EAU GALLE, WI 54737-9506",7152834326,,Religious,-92.020319,44.697085,2016 General Election
SHAWANO COUNTY,TOWN OF BELLE PLAINE,Wards 1-3,BELLE PLAINE COMMUNITY CENTER,"N3002 STATE ROAD 22, CLINTONVILLE, WI 54929-9191",7155242960,,Government,-88.690415,44.696465,2016 General Election
EAU CLAIRE COUNTY,TOWN OF BRIDGE CREEK,Wards 1-2,BRIDGE CREEK TOWN HALL,"S9515 STATE ROAD 27, AUGUSTA, WI 54722-9364",(715) 533-3707,,Government,-91.134764,44.694968,2016 General Election
DOOR COUNTY,VILLAGE OF FORESTVILLE,Ward 1,FORESTVILLE VILLAGE HALL,"123 S FORESTVILLE AVE, FORESTVILLE, WI 54213-9686",(920) 366-3640,,Government,-87.4799346924,44.6891174316,2016 General Election
EAU CLAIRE COUNTY,TOWN OF PLEASANT VALLEY,Wards 1-4,PLEASANT VALLEY TOWN HALL AND FIRE STATION,"S10414 COUNTY ROAD HH I, ELEVA, WI 54738",(715) 878-4645,,Government,-91.427961,44.68129,2016 General Election
EAU CLAIRE COUNTY,CITY OF AUGUSTA,Wards 1-5,AUGUSTA CITY HALL,"145 W LINCOLN ST, AUGUSTA, WI 54722-9152",(715) 286-2555,,Government,-91.121333,44.680168,2016 General Election
SHAWANO COUNTY,CITY OF MARION,Wards 4-6,MARION FIRE STATION,"128 W GARFIELD AVE, MARION, WI 54950",7157542124,,Government,-88.8887815922,44.6715044975,2016 General Election
WAUPACA COUNTY,CITY OF MARION,Wards 1-3,MARION FIRE STATION,"128 W GARFIELD AVE, MARION, WI 54950",7157542124,,Government,-88.8887815922,44.6715044975,2016 General Election
MARATHON COUNTY,CITY OF MARSHFIELD,"Wards 12,20-21,24",OAK AVENUE COMMUNITY CENTER,"201 S OAK AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.181902051,44.6680893749,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,"Wards 1,11",OAK AVENUE COMMUNITY CENTER,"201 S OAK AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.181902051,44.6680893749,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,Ward 2,OAK AVENUE COMMUNITY CENTER,"201 S OAK AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.181902051,44.6680893749,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,"Wards 3,13",OAK AVENUE COMMUNITY CENTER,"201 S OAK AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.181902051,44.6680893749,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,"Wards 4,14",OAK AVENUE COMMUNITY CENTER,"201 S OAK AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.181902051,44.6680893749,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,Ward 10,OAK AVENUE COMMUNITY CENTER,"201 S OAK AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.181902051,44.6680893749,2016 General Election
PIERCE COUNTY,TOWN OF SALEM,Ward 1,SALEM TOWN HALL,"N3599 COUNTY ROAD A, MAIDEN ROCK, WI 54750-8105",7156473585,,Government,-92.328238,44.668023,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,"Wards 8,19,22-23",MARSHFIELD COMMUNITY CENTER,"211 E 2ND STREET, MARSHFIELD, WI 54449-____",(715) 486-2023,1st Floor,Government,-90.171813,44.66544,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,"Wards 9,18",MARSHFIELD COMMUNITY CENTER,"211 E 2ND STREET, MARSHFIELD, WI 54449-____",(715) 486-2023,1st Floor,Government,-90.171813,44.66544,2016 General Election
CLARK COUNTY,TOWN OF SEIF,Ward 1,SEIF TOWN HALL,"N6738 IVES AVE, WILLARD, WI 54493-8504",(715) 937-5944,,Government,-90.7505109161,44.6654393524,2016 General Election
BROWN COUNTY,VILLAGE OF PULASKI,"Wards 1-3,6",Pulaski Municipal Building,"585 E GLENBROOK DR, PULASKI, WI 54162-9769",,,Government,-88.2282943726,44.6649093628,2016 General Election
OCONTO COUNTY,VILLAGE OF PULASKI,Ward 5,Pulaski Municipal Building,"585 E GLENBROOK DR, PULASKI, WI 54162-9769",,,Government,-88.2282943726,44.6649093628,2016 General Election
SHAWANO COUNTY,VILLAGE OF PULASKI,"Wards 4,7",Pulaski Municipal Building,"585 E GLENBROOK DR, PULASKI, WI 54162-9769",,,Government,-88.2282943726,44.6649093628,2016 General Election
SHAWANO COUNTY,TOWN OF LESSOR,Wards 1-2,LESSOR TOWN HALL,"W4055 LANDSTAD RD, BONDUEL, WI 54107",9208331377,,Government,-88.4414045513,44.6604940295,2016 General Election
CLARK COUNTY,TOWN OF WESTON,Wards 1-2,WESTON TOWN HALL,"W6105 COUNTY ROAD H, NEILLSVILLE, WI 54456",(715) 937-0646,,Government,-90.620227,44.65528,2016 General Election
EAU CLAIRE COUNTY,TOWN OF DRAMMEN,Ward 1,DRAMMEN TOWN HALL,"W6505 COUNTY ROAD ZZ, MONDOVI, WI 54755",(715) 287-4747,,Government,-91.6200187057,44.654333666,2016 General Election
PEPIN COUNTY,TOWN OF ALBANY,Ward 1,ALBANY TOWN HALL,"W1155 COUNTY ROAD R, MONDOVI, WI 54755-7408",7159265284,,Government,-91.707878,44.653496,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,"Wards 5,15",WILDWOOD STATION,"1800 S RODDIS AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.18666,44.650894,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,"Wards 6,17,25-26",WILDWOOD STATION,"1800 S RODDIS AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.18666,44.650894,2016 General Election
WOOD COUNTY,CITY OF MARSHFIELD,"Wards 7,16,27",WILDWOOD STATION,"1800 S RODDIS AVE, MARSHFIELD, WI 54449",7154862023,,Government,-90.18666,44.650894,2016 General Election
PORTAGE COUNTY,TOWN OF ALBAN,Ward 1,CENTRAL WISCONSIN ELECTRIC COOPERATIVE,"10401 LYSTUL RD, ROSHOLT, WI 54473-8975",(715) 677-4979,,Business,-89.261917,44.650474,2016 General Election
PIERCE COUNTY,TOWN OF DIAMOND BLUFF,Ward 1,DIAMOND BLUFF TOWN HALL,"W9870 290TH AVE, HAGER CITY, WI 54014-8348",(612) 987-1059,,Government,-92.629956,44.649652,2016 General Election
WOOD COUNTY,TOWN OF MARSHFIELD,Ward 1,MARSHFIELD TOWN HALL,"11133 MAIN ST, HEWITT, WI 54441-9021",7153845638,,Government,-90.1002426147,44.6488265991,2016 General Election
WOOD COUNTY,VILLAGE OF HEWITT,Ward 1,MARSHFIELD TOWN HALL,"11133 MAIN ST, HEWITT, WI 54441-9021",(715) 305-0486,,Government,-90.1002426147,44.6488265991,2016 General Election
WAUPACA COUNTY,TOWN OF DUPONT,Wards 1-2,DUPONT TOWN HALL,"N11297 TOWN HALL RD, MARION, WI 54950-9610",(715) 754-5343,,Government,-88.9411859214,44.6486105025,2016 General Election
EAU CLAIRE COUNTY,TOWN OF CLEAR CREEK,Wards 1-2,CLEAR CREEK TOWN HALL,"S12455 N RAVEN DR, STRUM, WI 54770-9417",(715) 878-4220,,Government,-91.346054,44.64783,2016 General Election
EAU CLAIRE COUNTY,TOWN OF OTTER CREEK,Ward 1,OTTER CREEK TOWN HALL,"E15425 COUNTY ROAD HH, OSSEO, WI 54758",(715) 597-3657,,Government,-91.216657,44.646572,2016 General Election
WOOD COUNTY,TOWN OF LINCOLN,Wards 1-2,LINCOLN TOWN HALL,"10905 FALCON RD, MARSHFIELD, WI 54449",(715) 384-2574,,Government,-90.260984,44.642773,2016 General Election
PIERCE COUNTY,TOWN OF UNION,Ward 1,UNION TOWN HALL,"1119 1ST ST, PLUM CITY, WI 54761",(715) 495-6286,,Government,-92.1903019398,44.6400267631,2016 General Election
PEPIN COUNTY,TOWN OF WATERVILLE,Wards 1-2,COMMUNITY OF CHRIST CHURCH,"N6378 COUNTY ROAD D, ARKANSAW, WI 54721-9455",7152855803,,,-92.028053,44.639391,2016 General Election
PEPIN COUNTY,TOWN OF LIMA,Wards 1-2,LIMA TOWN HALL,"W4195 FORSTER RD, DURAND, WI 54736-4923",7156724334,,Government,-91.862258,44.639044,2016 General Election
WAUPACA COUNTY,TOWN OF MATTESON,Ward 1,MATTESON TOWN HALL,"N10891 JEPSON RD, CLINTONVILLE, WI 54929",7158233536,,Government,-88.7298049927,44.6339302063,2016 General Election
CLARK COUNTY,TOWN OF YORK,Wards 1-2,YORK TOWN HALL,"N5890 COUNTY ROAD K, GRANTON, WI 54436",7157434277,,Government,-90.501122,44.63297,2016 General Election
KEWAUNEE COUNTY,TOWN OF LINCOLN,Ward 1,LINCOLN TOWN HALL,"N8497 COUNTY ROAD C, CASCO, WI 54205-9767",(920) 366-3640,,Government,-87.602907,44.632488,2016 General Election
KEWAUNEE COUNTY,TOWN OF RED RIVER,Ward 1-3,RED RIVER TOWN HALL,"E0505 COUNTY RD S, LUXEMBURG, WI 54217",(920) 866-3016,,Government,-87.74355,44.63174,2016 General Election
PIERCE COUNTY,VILLAGE OF PLUM CITY,Ward 1,PLUM CITY VILLAGE HALL,"501 MAIN ST, PLUM CITY, WI 54761-9057",7156472612,,Government,-92.192422,44.631483,2016 General Election
WOOD COUNTY,TOWN OF AUBURNDALE,Ward 1,AUBURNDALE VILLAGE HALL,"5988 1ST ST, AUBURNDALE, WI 54412-0036",7156523387,,Government,-90.020057,44.631159,2016 General Election
WOOD COUNTY,VILLAGE OF AUBURNDALE,Ward 1,AUBURNDALE VILLAGE HALL,"5988 1ST ST, AUBURNDALE, WI 54412-0036",7156523387,,Government,-90.020057,44.631159,2016 General Election
PIERCE COUNTY,TOWN OF TRENTON,Ward 1-2,TRENTON TOWN HALL,"W7926 250TH AVE, HAGER CITY, WI 54014",7157925218,,Government,-92.532501,44.630662,2016 General Election
SHAWANO COUNTY,TOWN OF MAPLE GROVE,Ward 1,SAINT STANISLAUS SOCIAL HALL,"W1888 HOFA PARK DR, SEYMOUR, WI 54165-9510",9208225414,,,-88.332467,44.629794,2016 General Election
PEPIN COUNTY,CITY OF DURAND,Wards 1-3,DURAND CITY HALL,"104 E MAIN ST, DURAND, WI 54736-1143",7156728770,Community Room,Government,-91.966011,44.629539,2016 General Election
PORTAGE COUNTY,VILLAGE OF ROSHOLT,Ward 1,ROSHOLT VILLAGE HALL,"101 S MAIN ST, ROSHOLT, WI 54473-9772",7156774510,,Government,-89.308936,44.627566,2016 General Election
CLARK COUNTY,TOWN OF FREMONT,Wards 1-2,FREMONT TOWN HALL,"N5671 OAK ST, CHILI, WI 54420-9204",7156832873,,Government,-90.357982,44.626702,2016 General Election
PORTAGE COUNTY,TOWN OF EAU PLEINE,Ward 1,EAU PLEINE TOWN HALL,"3191 STATE HIGHWAY 34, JUNCTION CITY, WI 54443-9630",7154576635,,Government,-89.718124,44.626659,2016 General Election
BROWN COUNTY,VILLAGE OF SUAMICO,Ward 1-4,IDLEWILD PARK BUILDING,"1500 COTTON DR, SUAMICO, WI 54173",9204342212,,Government,-88.042857,44.623313,2016 General Election
WAUPACA COUNTY,CITY OF CLINTONVILLE,Ward 1-7,CLINTONVILLE CITY HALL,"50 10TH ST, CLINTONVILLE, WI 54929-1513",7158237600,,Government,-88.7624588013,44.6230430603,2016 General Election
WAUPACA COUNTY,CITY OF CLINTONVILLE,Ward 8,CLINTONVILLE CITY HALL,"50 10TH ST, CLINTONVILLE, WI 54929-1513",7158237600,,Government,-88.7624588013,44.6230430603,2016 General Election
PEPIN COUNTY,TOWN OF WAUBEEK,Ward 1,PEPIN COUNTY GOVERNMENT CENTER,"740 7TH AVE W, DURAND, WI 54736-1628",7152855242,,Government,-91.9671859741,44.622844696,2016 General Election
BROWN COUNTY,TOWN OF PITTSFIELD,Wards 1-3,PITTSFIELD TOWN HALL,"3041 KUNESH NORTH RD, PULASKI, WI 54162",9208657907,,Government,-88.190489,44.622261,2016 General Election
PIERCE COUNTY,TOWN OF HARTLAND,Ward 1,HARTLAND TOWN HALL,"W6170 COUNTY ROAD EE, BAY CITY, WI 54723-8511",(715) 594-3706,,Government,-92.440558,44.621288,2016 General Election
BROWN COUNTY,VILLAGE OF SUAMICO,Ward 5-8,SUAMICO MUNICIPAL SERVICES CENTER,"12781 VELP AVE, SUAMICO, WI 54313-8030",9204342212,,Government,-88.069148,44.617586,2016 General Election
WAUPACA COUNTY,TOWN OF WYOMING,Ward 1,JR'S BANQUET HALL,"120 N MAIN ST, BIG FALLS, WI 54926",(715) 754-2824,,Government,-89.015887,44.616876,2016 General Election
WAUPACA COUNTY,VILLAGE OF BIG FALLS,Ward 1,BIG FALLS VILLAGE HALL,"220 S MAIN ST, BIG FALLS, WI 54926",(715) 250-0371,,Government,-89.0161268413,44.6151452512,2016 General Election
WOOD COUNTY,TOWN OF MILLADORE,Ward 1,MILLADORE TOWN HALL,"3720 COUNTY ROAD P, MILLADORE, WI 54454",7156523944,,Government,-89.906794,44.612586,2016 General Election
KEWAUNEE COUNTY,TOWN OF AHNAPEE,Ward 1,AHNAPEE TOWN HALL,"303 N WATER ST, ALGOMA, WI 54201-1150",9204872486,,Government,-87.4365692139,44.612121582,2016 General Election
WOOD COUNTY,TOWN OF CAMERON,Ward 1,CAMERON TOWN HALL,"9301 MILL CREEK DR, MARSHFIELD, WI 54449",(715) 207-9574,,Government,-90.181115,44.611697,2016 General Election
SHAWANO COUNTY,TOWN OF NAVARINO,Ward 1,NAVARINO TOWN HALL,"W5041 STATE HIGHWAY 156, BONDUEL, WI 54107",7157588104,,Government,-88.4945350885,44.6112500131,2016 General Election
EAU CLAIRE COUNTY,TOWN OF FAIRCHILD,Ward 1,FAIRCHILD TOWN HALL,"E25215 COUNTY ROAD RR, FAIRCHILD, WI 54741",(715) 334-5797,,Government,-91.018562,44.610733,2016 General Election
PORTAGE COUNTY,TOWN OF DEWEY,Ward 1,DEWEY TOWN HALL,"430 DEWEY DR, STEVENS POINT, WI 54482-9655",7153451903,,Government,-89.5952987671,44.6100006104,2016 General Election
KEWAUNEE COUNTY,CITY OF ALGOMA,Ward 1-6,ALGOMA CITY HALL,"416 FREMONT ST, ALGOMA, WI 54201-1353",9204875203,,Government,-87.439009,44.606547,2016 General Election
WAUPACA COUNTY,TOWN OF HARRISON,Ward 1,HARRISON TOWN HALL -NORTHLAND CHURCH,"E1389 COUNTY ROAD C, IOLA, WI 54945",7154453362,,,-89.157983,44.605565,2016 General Election
PORTAGE COUNTY,VILLAGE OF MILLADORE,Ward 2,Village of Milladore Office,"120 MAIN ST, MILLADORE, WI 54454-9642",(715) 347-0935,,Government,-89.8516921997,44.6039123535,2016 General Election
WOOD COUNTY,VILLAGE OF MILLADORE,Ward 1,Village of Milladore Office,"120 MAIN ST, MILLADORE, WI 54454-9642",(715) 347-0935,,Government,-89.8516921997,44.6039123535,2016 General Election
WAUPACA COUNTY,TOWN OF LARRABEE,Wards 1-2,FOX VALLEY TECHNICAL COLLEGE CLINTONVILLE,"525 S MAIN ST, CLINTONVILLE, WI 54929-2103",7158238324,,School,-88.7647476196,44.6012649536,2016 General Election
PORTAGE COUNTY,VILLAGE OF JUNCTION CITY,Ward 1,JUNCTION CITY VILLAGE HALL/FIRE STATION,"1001 MAIN ST, JUNCTION CITY, WI 54443-9785",7154576464,Village Hall,Government,-89.760925293,44.5904464722,2016 General Election
PEPIN COUNTY,TOWN OF STOCKHOLM,Ward 1,LUND FIRE HALL,"W1498 COUNTY ROAD CC, STOCKHOLM, WI 54769-8700",7154482146,,Business,-92.2562286258,44.5904126018,2016 General Election
PEPIN COUNTY,TOWN OF FRANKFORT,Ward 1,FRANKFORT TOWN HALL,"W7804 COUNTY ROAD SS, PEPIN, WI 54759",7154422685,,Government,-92.043654,44.589945,2016 General Election
BROWN COUNTY,TOWN OF GREEN BAY,Wards 1-3,GREEN BAY TOWN HALL,"5999 COUNTY ROAD K, NEW FRANKEN, WI 54229-9456",9208662687,,Government,-87.799616307,44.589188844,2016 General Election
CLARK COUNTY,VILLAGE OF GRANTON,Ward 1,GRANTON VILLAGE HALL,"127 MAPLE ST, GRANTON, WI 54436-7821",7152387339,,Government,-90.4625999182,44.5879409462,2016 General Election
BUFFALO COUNTY,TOWN OF CANTON,Ward 1,CANTON TOWN HALL,"S290 COUNTY ROAD J, NELSON, WI 54756",0,,Government,-91.830578,44.585441,2016 General Election
PIERCE COUNTY,VILLAGE OF BAY CITY,Ward 1,BAY CITY VILLAGE HALL,"W6391 MAIN ST, BAY CITY, WI 54723-8324",(715) 594-3168,,Government,-92.45133,44.584125,2016 General Election
